payment_id,customer_id,payment_date,amount,payment_method,failure_reason,customer_lifetime_value,previous_payment_count,previous_success_count,previous_failure_count,previous_average_amount,customer_success_rate,amount_vs_customer_average,recent_failure_count,recovered
PAY001253,CUST00001,2026-03-10,1431.39,card,expired_card,321516.27,0,0,0,1431.39,0.0,1.0,0,True
PAY005312,CUST00001,2026-04-08,1712.6,netbanking,insufficient_funds,321516.27,4,3,1,1450.77,0.75,1.1804765745087091,1,False
PAY006036,CUST00001,2026-04-14,1460.9,upi,card_declined,321516.27,5,3,2,1503.136,0.6,0.9719014114491304,1,True
PAY009198,CUST00002,2026-05-24,11783.16,wallet,card_declined,141139.51,9,9,0,14675.710000000001,1.0,0.802902210523375,0,True
PAY009842,CUST00002,2026-06-23,12385.33,wallet,insufficient_funds,141139.51,12,11,1,14322.173333333332,0.9166666666666666,0.8647661016065532,1,True
PAY003251,CUST00003,2026-03-24,18088.53,upi,authentication_failed,369553.25,3,3,0,16528.416666666668,1.0,1.094389763084788,0,True
PAY004885,CUST00003,2026-04-05,16950.35,wallet,expired_card,369553.25,5,4,1,16607.922,0.8,1.0206183530967932,1,True
PAY007552,CUST00003,2026-04-29,8815.05,wallet,authentication_failed,369553.25,8,6,2,17576.62,0.75,0.5015213391425655,1,True
PAY001442,CUST00004,2026-03-11,7056.25,card,expired_card,446628.89,1,1,0,5026.25,1.0,1.4038796319323552,0,False
PAY003110,CUST00004,2026-03-23,7079.48,wallet,card_declined,446628.89,3,2,1,6018.06,0.6666666666666666,1.1763724522520544,1,False
PAY005313,CUST00004,2026-04-08,7118.67,upi,timeout,446628.89,5,3,2,6661.402,0.6,1.068644408489384,2,False
PAY007808,CUST00004,2026-05-02,7013.91,netbanking,timeout,446628.89,8,5,3,7065.205,0.625,0.9927397718820614,1,False
PAY004886,CUST00005,2026-04-05,18956.3,upi,authentication_failed,213851.3,5,5,0,16617.906,1.0,1.1407153223757553,0,True
PAY007103,CUST00005,2026-04-24,14409.88,upi,insufficient_funds,213851.3,8,7,1,16404.372499999998,0.875,0.878417019608644,1,False
PAY006154,CUST00006,2026-04-15,4459.26,netbanking,expired_card,113225.8,4,4,0,4870.639999999999,1.0,0.9155388203603635,0,False
PAY000632,CUST00007,2026-03-06,927.37,card,network_error,18135.3,1,1,0,2010.84,1.0,0.46118537526605796,0,True
PAY002218,CUST00007,2026-03-17,899.17,netbanking,expired_card,18135.3,2,1,1,1469.105,0.5,0.6120529165716542,1,False
PAY002517,CUST00008,2026-03-19,5639.28,netbanking,insufficient_funds,326692.8,2,2,0,6886.785,1.0,0.8188552423227965,0,True
PAY005033,CUST00008,2026-04-06,6227.68,upi,network_error,326692.8,6,5,1,7182.578333333334,0.8333333333333334,0.8670535441428067,1,True
PAY008509,CUST00009,2026-05-11,11309.33,wallet,insufficient_funds,114118.11,9,9,0,13999.485555555557,1.0,0.8078389705907446,0,True
PAY006039,CUST00010,2026-04-14,17374.82,upi,expired_card,405668.08,5,5,0,18414.541999999998,1.0,0.9435379929623013,0,True
PAY006388,CUST00010,2026-04-17,23891.52,card,network_error,405668.08,6,5,1,18241.255,0.8333333333333334,1.309751988007404,1,True
PAY007914,CUST00010,2026-05-03,10538.53,netbanking,expired_card,405668.08,8,6,2,18115.19375,0.75,0.5817508852203142,2,True
PAY008311,CUST00010,2026-05-08,21059.48,netbanking,timeout,405668.08,9,6,3,17273.34222222222,0.6666666666666666,1.2191896466282535,3,True
PAY000633,CUST00012,2026-03-06,10152.03,wallet,insufficient_funds,173424.01,0,0,0,10152.03,0.0,1.0,0,False
