payment_id,customer_id,payment_date,amount,payment_method,status,failure_reason,recovery_action,recovered,recovered_amount
PAY000001,CUST00016,2026-02-28,9459.89,upi,success,,no_action,False,0.0
PAY000002,CUST00022,2026-02-28,15370.85,netbanking,failed,insufficient_funds,payment_link,False,0.0
PAY000003,CUST00056,2026-02-28,13080.11,wallet,failed,authentication_failed,reminder,True,13080.11
PAY000004,CUST00069,2026-02-28,11732.76,netbanking,success,,no_action,False,0.0
PAY000005,CUST00072,2026-02-28,6819.49,netbanking,success,,no_action,False,0.0
PAY000006,CUST00075,2026-02-28,16682.78,card,success,,no_action,False,0.0
PAY000007,CUST00076,2026-02-28,17114.61,upi,success,,no_action,False,0.0
PAY000008,CUST00079,2026-02-28,13472.59,wallet,failed,network_error,retry,True,13472.59
PAY000009,CUST00088,2026-02-28,5014.92,upi,success,,no_action,False,0.0
PAY000010,CUST00100,2026-02-28,17674.73,wallet,success,,no_action,False,0.0
PAY000011,CUST00103,2026-02-28,8691.1,card,success,,no_action,False,0.0
PAY000012,CUST00123,2026-02-28,5384.44,card,success,,no_action,False,0.0
PAY000013,CUST00125,2026-02-28,1921.19,netbanking,success,,no_action,False,0.0
PAY000014,CUST00137,2026-02-28,16893.25,upi,success,,no_action,False,0.0
PAY000015,CUST00141,2026-02-28,14125.15,wallet,success,,no_action,False,0.0
PAY000016,CUST00151,2026-02-28,12929.22,upi,success,,no_action,False,0.0
PAY000017,CUST00161,2026-02-28,10076.51,netbanking,success,,no_action,False,0.0
PAY000018,CUST00165,2026-02-28,14972.0,wallet,success,,no_action,False,0.0
PAY000019,CUST00178,2026-02-28,16269.11,upi,success,,no_action,False,0.0
PAY000020,CUST00187,2026-02-28,972.74,card,success,,no_action,False,0.0
PAY000021,CUST00188,2026-02-28,16295.17,card,success,,no_action,False,0.0
PAY000022,CUST00202,2026-02-28,8456.53,card,success,,no_action,False,0.0
PAY000023,CUST00215,2026-02-28,13806.04,wallet,success,,no_action,False,0.0
PAY000024,CUST00226,2026-02-28,4545.76,wallet,success,,no_action,False,0.0
PAY000025,CUST00230,2026-02-28,7451.46,upi,failed,network_error,reminder,True,7451.46
PAY000026,CUST00241,2026-02-28,7834.31,card,failed,card_declined,payment_link,False,0.0
PAY000027,CUST00250,2026-02-28,6315.43,card,success,,no_action,False,0.0
PAY000028,CUST00259,2026-02-28,1503.84,netbanking,success,,no_action,False,0.0
PAY000029,CUST00266,2026-02-28,16515.89,netbanking,failed,expired_card,reminder,True,16515.89
PAY000030,CUST00267,2026-02-28,7479.15,upi,failed,insufficient_funds,payment_link,True,7479.15
PAY000031,CUST00295,2026-02-28,5207.27,netbanking,success,,no_action,False,0.0
PAY000032,CUST00310,2026-02-28,1604.64,card,success,,no_action,False,0.0
PAY000033,CUST00316,2026-02-28,18770.07,netbanking,success,,no_action,False,0.0
PAY000034,CUST00327,2026-02-28,1129.36,wallet,success,,no_action,False,0.0
PAY000035,CUST00334,2026-02-28,7023.55,card,success,,no_action,False,0.0
PAY000036,CUST00367,2026-02-28,11168.2,netbanking,failed,timeout,reminder,False,0.0
PAY000037,CUST00371,2026-02-28,1715.41,wallet,success,,no_action,False,0.0
PAY000038,CUST00373,2026-02-28,18985.95,card,success,,no_action,False,0.0
PAY000039,CUST00389,2026-02-28,1879.88,wallet,success,,no_action,False,0.0
PAY000040,CUST00392,2026-02-28,12442.44,card,failed,network_error,reminder,False,0.0
PAY000041,CUST00397,2026-02-28,5774.91,card,success,,no_action,False,0.0
PAY000042,CUST00420,2026-02-28,10183.64,upi,success,,no_action,False,0.0
PAY000043,CUST00421,2026-02-28,8914.55,netbanking,success,,no_action,False,0.0
PAY000044,CUST00433,2026-02-28,17590.77,upi,success,,no_action,False,0.0
PAY000045,CUST00450,2026-02-28,1579.45,upi,success,,no_action,False,0.0
PAY000046,CUST00452,2026-02-28,17275.74,card,success,,no_action,False,0.0
PAY000047,CUST00453,2026-02-28,1516.74,wallet,success,,no_action,False,0.0
PAY000048,CUST00460,2026-02-28,8879.51,wallet,success,,no_action,False,0.0
PAY000049,CUST00471,2026-02-28,2753.87,card,failed,expired_card,reminder,True,2753.87
PAY000050,CUST00474,2026-02-28,7190.95,card,success,,no_action,False,0.0
PAY000051,CUST00502,2026-02-28,2293.82,card,success,,no_action,False,0.0
PAY000052,CUST00510,2026-02-28,15075.78,card,failed,insufficient_funds,reminder,False,0.0
PAY000053,CUST00521,2026-02-28,5373.49,card,success,,no_action,False,0.0
PAY000054,CUST00534,2026-02-28,2970.96,upi,success,,no_action,False,0.0
PAY000055,CUST00551,2026-02-28,6625.45,upi,failed,card_declined,payment_link,False,0.0
PAY000056,CUST00572,2026-02-28,9834.68,card,success,,no_action,False,0.0
PAY000057,CUST00577,2026-02-28,1989.37,upi,success,,no_action,False,0.0
PAY000058,CUST00583,2026-02-28,14836.76,netbanking,failed,card_declined,payment_link,True,14836.76
PAY000059,CUST00605,2026-02-28,6403.02,netbanking,failed,expired_card,reminder,False,0.0
PAY000060,CUST00613,2026-02-28,5262.01,netbanking,success,,no_action,False,0.0
PAY000061,CUST00617,2026-02-28,11057.67,card,success,,no_action,False,0.0
PAY000062,CUST00629,2026-02-28,18058.29,wallet,success,,no_action,False,0.0
PAY000063,CUST00635,2026-02-28,4469.32,upi,failed,authentication_failed,reminder,True,4469.32
PAY000064,CUST00640,2026-02-28,14967.22,upi,success,,no_action,False,0.0
PAY000065,CUST00641,2026-02-28,14635.76,upi,success,,no_action,False,0.0
PAY000066,CUST00646,2026-02-28,5084.55,wallet,success,,no_action,False,0.0
PAY000067,CUST00650,2026-02-28,9348.38,card,success,,no_action,False,0.0
PAY000068,CUST00652,2026-02-28,16808.34,netbanking,success,,no_action,False,0.0
PAY000069,CUST00655,2026-02-28,7991.44,card,success,,no_action,False,0.0
PAY000070,CUST00662,2026-02-28,17164.2,wallet,success,,no_action,False,0.0
PAY000071,CUST00665,2026-02-28,17324.07,wallet,success,,no_action,False,0.0
PAY000072,CUST00678,2026-02-28,4876.74,wallet,success,,no_action,False,0.0
PAY000073,CUST00686,2026-02-28,8906.16,card,success,,no_action,False,0.0
PAY000074,CUST00694,2026-02-28,1110.47,netbanking,failed,authentication_failed,reminder,True,1110.47
PAY000075,CUST00703,2026-02-28,7056.26,netbanking,failed,authentication_failed,reminder,True,7056.26
PAY000076,CUST00704,2026-02-28,1033.23,wallet,failed,timeout,retry,False,0.0
PAY000077,CUST00711,2026-02-28,15171.81,card,success,,no_action,False,0.0
PAY000078,CUST00727,2026-02-28,19073.24,netbanking,success,,no_action,False,0.0
PAY000079,CUST00734,2026-02-28,18790.53,wallet,success,,no_action,False,0.0
PAY000080,CUST00735,2026-02-28,14524.79,netbanking,success,,no_action,False,0.0
